,Site,Col_Company,Col_Recruit,Col_detail,Col_url
14,Saramin,주식회사 리만코리아,영업기획/데이터분석(주임~대리) ,"['서울 강남구', '경력 3~8년', '고졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51766896&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
15,Saramin,콘센트릭스서비스코리아(유),[Catalyst] GA/AA 데이터분석 ,"['서울 강남구', '경력1년↑', '학력무관', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51645478&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
16,Saramin,(주)마크클라우드,"AI 개발(Python),데이터분석 및 사업기획 경력 모집(석사이상) ","['서울 강남구', '경력2년↑', '석사↑', '정규직·인턴직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51712797&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
17,Saramin,(주)바이오컴,[AI 바이오 헬스케어] 데이터분석 전문가 ,"['서울 강서구', '경력3년↑', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51875710&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
18,Saramin,㈜이씨마이너,연구소 빅데이터분석/AI솔루션개발자/ Visual C++ 개발자 모집 ,"['서울 강남구', '경력무관', '대졸↑', '정규직', '3,500 만원']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51715616&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
19,Saramin,주식회사 테크핀레이팅스,데이터분석(5년 이상) ,"['서울 중구', '경력 5~20년', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51774017&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
20,Saramin,(주)브릭,데이터분석가(경력 3년 이상) 채용 ,"['경기 성남시 분당구', '경력3년↑', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51716786&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
21,Saramin,(주)씨티아이랩,데이터분석:AI 모델 개발자(경력 3년이상) ,"['경기 성남시 수정구', '경력3년↑', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51666618&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
22,Saramin,(주)비쥬웍스,[의료 분야] 데이터분석가 경력직 채용 ,"['서울 서초구', '경력2년↑', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51706670&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
23,Saramin,(주)스마트뱅크,데이터분석 / RPA 운영 유경험자 채용 ,"['대전 유성구', '경력', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51820659&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
24,Saramin,(주)블루시그널,"(철도/교통/인공지능분야) 비전, 정형 데이터분석,개발 AI연구원 ","['대전 유성구', '경력 2~5년', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51709651&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
25,Saramin,(주)베스트에치알 (Best HR),(주)베스트에치알 헬스케어서비스 DA 데이터분석 주임대리급 채용 ,"['서울 강남구', '경력 3~6년', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51842474&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
26,Saramin,(주)해양정보기술,수치모델링/빅데이터분석 및 딥러닝 부문채용 ,"['서울 금천구', '경력무관', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51742263&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
27,Saramin,넛지헬스케어(주),[캐시워크] 데이터분석가 - 석사/박사 ,"['서울 강남구', '경력무관', '석사↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51874340&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
28,Saramin,주식회사 테크핀레이팅스,[신용평가사] 데이터분석(5년 이상) ,"['서울 중구', '경력5년↑', '학력무관', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51603209&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
29,Saramin,베스트네트워크㈜,32. 인재개발원 데이터분석/진단 [대기업] ,"['서울 강남구', '경력 7~11년', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51803177&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
30,Saramin,(주)동인코퍼레이션,BI / OLAP / 데이터분석 엔지니어 채용 ,"['서울 송파구', '경력 5~10년', '초대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51705140&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
31,Saramin,SK(주) AX,IIoT 기반 진단모니터링 구축 및 데이터분석 전문가 영입 ,"['경기 성남시 분당구', '경력 5~10년', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51527235&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
32,Saramin,(주)엠제이코리아,[화성시/반월동/연2700]ERP사용/데이터분석/타이핑/주차O/식사O ,"['경기 화성시', '경력1년↑', '고졸↑', '파견직', '2,700 만원']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51754654&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
33,Saramin,마이데이터(주),데이터분석 및 시각화 엔지니어 모집 ,"['서울 서초구', '경력8년↑', '학력무관', '프리랜서']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51864755&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
34,Saramin,(주)헬로서치,[유명게임사] 게임데이터분석가 ,"['경기 성남시 분당구', '경력7년↑', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51816167&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
35,Saramin,(주)아이트럭,IMC마케팅팀장(퍼포먼스마케터 및 데이터분석가) ,"['서울 서초구', '경력 7~12년', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51407432&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
36,Saramin,주식회사 티시스 아이티,2025년 (주)티시스아이티 데이터분석 경력사원 모집(~12/31) ,"['서울 중구', '경력10년↑', '초대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51734935&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
37,Saramin,리뉴피플 주식회사,대규모거래 데이터분석 경력 채용 ,"['서울 강남구', '경력 7~12년', '학력무관', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51874945&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
38,Saramin,리뉴피플 주식회사,비즈니스 데이터분석 경력 채용 ,"['서울 강남구', '경력 7~12년', '학력무관', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51874952&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
39,Saramin,주식회사맨파워써치,데이터분석 과(차)장급 경력사원 모집 ,"['서울 중구', '경력 10~16년', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51863945&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
